,Date,Start,high,low,close,percent,5MA,20MA,60MA,Demark_high,Demark_middle,Demakr_low,volume,5VOL,20VOL,60VOL,PVT,Sonar,RSI,Momentum,RMI,OBV
3521,2017-02-07,15400,15820,15400,15660,1.29%,15588.0,16005.0,15772.0,15580.0,15505.0,15280.0,866220.0,1003811.0,1343820.0,1356009.0,63720125.0,-0.48,47.91,97.39,45.99,812174270.0
3522,2017-02-08,15760,15960,15560,15960,1.92%,15644.0,15975.0,15778.0,15950.0,15635.0,15530.0,1346460.0,1075593.0,1352134.0,1342339.0,63745920.0,-0.91,51.68,101.01,41.75,813520730.0
3523,2017-02-09,16340,17140,16260,17080,7.02%,15952.0,16009.0,15810.0,16160.0,15860.0,15760.0,7753040.0,2340531.0,1657461.0,1449805.0,64289993.0,-0.93,62.39,108.38,41.55,821273770.0
3524,2017-02-10,17060,17260,16820,17020,-0.35%,16236.0,16028.0,15841.0,17550.0,16890.0,16670.0,3963705.0,2955032.0,1788024.0,1500334.0,64276069.0,-0.89,61.61,111.83,41.95,817310065.0
3525,2017-02-13,17080,17100,16740,16820,-1.18%,16508.0,16050.0,15853.0,17140.0,17030.0,16700.0,1988150.0,3183515.0,1824522.0,1486282.0,64252706.0,-0.85,59.04,109.08,42.33,815321915.0
3526,2017-02-14,16800,17060,16600,16980,0.95%,16772.0,16060.0,15866.0,16960.0,16870.0,16600.0,2139255.0,3438122.0,1811252.0,1501972.0,64273056.0,-0.83,60.44,109.27,42.52,817461170.0
3527,2017-02-15,17020,17120,16820,16980,0.00%,16976.0,16083.0,15880.0,17250.0,16905.0,16790.0,1606150.0,3490060.0,1840425.0,1505290.0,64273056.0,-0.8,60.44,108.29,42.9,817461170.0
3528,2017-02-16,16920,16960,16440,16480,-2.94%,16856.0,16088.0,15892.0,17050.0,16975.0,16750.0,2848615.0,2509175.0,1925578.0,1537213.0,64189174.0,-0.62,54.03,106.05,44.61,814612555.0
3529,2017-02-17,16480,17060,16480,16940,2.79%,16840.0,16124.0,15901.0,16720.0,16590.0,16200.0,2818455.0,2280125.0,2020070.0,1555409.0,64267845.0,-0.01,58.32,108.59,49.9,817431010.0
3530,2017-02-20,16880,17060,16720,16960,0.12%,16868.0,16149.0,15911.0,17290.0,16855.0,16710.0,1473840.0,2177263.0,2032165.0,1557175.0,64269585.0,0.56,58.5,109.7,54.37,818904850.0
3531,2017-02-21,17140,17820,17140,17680,4.25%,17008.0,16229.0,15937.0,17180.0,16925.0,16840.0,7868905.0,3323193.0,2354290.0,1673844.0,64603642.0,1.4,64.29,112.9,60.2,826773755.0
